DataPointNumber,DataPointValue,AnomalyScore,DateTime
5,1.3127685492427303,0.052855759359049626,2023-11-15 16:56:04
19,-0.9404952250832479,0.05464005922054593,2023-11-15 16:56:04
24,1.3127685492427303,0.05138833169050705,2023-11-15 16:56:04
38,-0.9404952250832479,0.05937458106611937,2023-11-15 16:56:04
43,1.3127685492427303,0.04801049842870242,2023-11-15 16:56:04
57,-0.9404952250832479,0.06737676514797497,2023-11-15 16:56:04
62,1.3127685492427303,0.04635600594681599,2023-11-15 16:56:04
76,-0.9404952250832479,0.06345864182433614,2023-11-15 16:56:04
81,1.3127685492427303,0.05298493157922268,2023-11-15 16:56:04
95,-0.9404952250832479,0.0659418546393522,2023-11-15 16:56:04
100,1.3127685492427303,0.04865614127424722,2023-11-15 16:56:04
114,-0.9404952250832479,0.06431070548612705,2023-11-15 16:56:04
126,-0.5674084831701173,0.0068800497100500735,2023-11-15 16:56:04
133,-0.9404952250832479,0.07326997546142278,2023-11-15 16:56:04
152,-0.9404952250832479,0.038444821893486636,2023-11-15 16:56:04
159,2.093773891048203,0.167812141585293,2023-11-15 16:56:04
171,-0.9404952250832479,0.056629555922961705,2023-11-15 16:56:04
178,2.093773891048203,0.10645072876002726,2023-11-15 16:56:04
190,-0.9404952250832479,0.05641997638192098,2023-11-15 16:56:04
197,2.093773891048203,0.11283212470977055,2023-11-15 16:56:04
